id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
818,Moore Elementary School,North Carolina,Charter,Elementary,6709.35,40.0,12.5,64.4,69.3,77.9,7.37
819,Hughes Elementary School,California,Charter,High,7680.31,40.0,13.3,62.9,67.6,50.8,9.54
820,Rivers Middle School,Georgia,Charter,Middle,17958.56,48.3,25.3,35.5,56.6,83.6,4.53
821,Bright Middle School,Pennsylvania,Charter,High,11358.76,40.0,29.8,20.0,55.0,64.5,4.68
822,Fuller Elementary School,Texas,Charter,Middle,9948.5,47.5,25.2,31.0,42.0,74.7,6.06
823,Craig Elementary School,Ohio,Private,Middle,18648.87,54.6,29.9,12.2,52.4,96.6,3.35
824,Hernandez Elementary School,Florida,Private,Elementary,18473.37,47.0,11.3,45.9,36.6,65.1,5.22
825,Johnson High School,Florida,Public,Elementary,18820.76,44.8,12.0,44.9,30.3,52.5,4.81
826,Perry Middle School,Georgia,Public,High,15399.8,48.7,18.0,11.7,85.3,55.8,5.6
827,Spears High School,California,Private,High,20844.2,59.0,12.7,65.4,53.8,83.7,4.61
828,Beltran Middle School,Ohio,Public,Middle,17323.96,58.4,14.3,32.1,64.4,83.3,3.42
829,Turner Middle School,New York,Charter,High,6507.51,48.5,18.1,15.0,60.1,74.5,1.67
830,Levine High School,Pennsylvania,Private,Elementary,5182.94,40.0,26.2,25.8,69.3,65.5,6.87
831,Saunders High School,California,Public,Middle,18054.73,52.3,21.6,66.3,24.9,81.9,6.59
832,Proctor High School,Michigan,Charter,Elementary,17070.06,63.6,15.6,17.7,78.8,75.9,1.23
833,Kerr High School,Ohio,Charter,High,18410.36,41.1,25.6,63.4,66.1,76.5,7.41
834,Williamson Middle School,California,Public,Middle,20255.19,52.4,24.0,41.0,43.1,75.9,5.61
835,Medina Elementary School,Pennsylvania,Public,Elementary,6038.48,40.0,17.1,77.8,64.7,75.1,9.12
836,Barajas Elementary School,Texas,Private,Elementary,13203.13,40.0,28.7,58.4,11.5,55.4,10.21
837,Reynolds High School,Michigan,Charter,Middle,9151.9,40.0,17.4,68.9,86.5,58.1,10.18
838,Collins Elementary School,New York,Private,Middle,23248.31,47.8,25.8,94.9,73.9,65.2,11.62
839,Sherman Middle School,Georgia,Charter,High,10382.46,51.7,28.8,32.8,82.2,96.4,5.99
840,Morgan High School,North Carolina,Public,Elementary,13427.71,40.0,26.4,63.6,16.8,52.4,9.38
841,Patton Elementary School,Ohio,Charter,Elementary,21123.49,59.1,20.5,31.9,57.9,54.2,4.77
842,Combs Elementary School,California,Public,Elementary,12236.77,44.9,13.9,79.6,57.7,84.3,6.39
843,Yang Middle School,Florida,Charter,High,5628.65,40.0,21.8,26.5,53.2,52.5,8.35
844,Campbell Elementary School,Pennsylvania,Public,Elementary,19360.48,63.2,23.2,11.1,60.8,95.3,0.5
845,Baxter Elementary School,Texas,Public,Elementary,12502.42,40.0,27.9,64.6,71.3,67.7,8.83
846,Manning High School,California,Public,Middle,11117.09,49.4,12.4,79.3,10.7,88.5,1.8
847,Evans Middle School,Pennsylvania,Public,Elementary,7815.52,57.8,15.6,65.5,46.9,96.9,2.87
848,Green Elementary School,Michigan,Public,Middle,6321.66,44.6,11.1,66.3,19.3,77.2,3.38
849,Ford Elementary School,California,Public,Elementary,24000.27,63.0,28.0,20.4,58.4,98.1,0.83
850,Greene Middle School,New York,Charter,Middle,17863.23,43.5,28.5,92.9,81.2,84.8,11.72
851,Hardin High School,Florida,Public,Elementary,12750.15,40.0,28.0,92.9,25.6,71.4,10.63
852,Zimmerman Middle School,New York,Private,Middle,20593.34,58.2,15.8,37.2,22.2,73.2,2.72
853,Brooks High School,Texas,Charter,Middle,7349.01,40.0,22.0,81.7,17.9,61.5,9.78
854,Gutierrez Elementary School,Pennsylvania,Charter,Middle,19922.05,43.1,18.6,69.8,65.1,50.8,11.03
855,Gonzalez High School,Illinois,Charter,Elementary,20346.75,57.1,23.7,28.5,54.8,76.1,4.37
856,Green Middle School,Ohio,Public,Middle,11147.97,49.4,28.2,22.2,47.9,96.7,1.93
857,Lin Elementary School,Ohio,Private,Elementary,7505.28,40.0,23.5,74.4,90.7,65.3,10.73
858,Glass Middle School,Texas,Private,High,9729.22,40.0,27.0,34.9,60.7,58.4,9.82
859,Smith High School,Michigan,Private,High,13447.18,40.0,24.6,81.8,75.1,54.3,13.01
860,Bell Middle School,Illinois,Charter,Middle,9377.88,40.0,18.6,64.3,7.5,56.6,6.68
861,Simon Elementary School,Ohio,Public,High,21710.98,47.6,16.8,86.6,33.4,73.2,8.66
862,Parker High School,North Carolina,Private,High,15871.92,48.4,22.6,41.0,41.5,91.9,2.3
863,Griffin Middle School,Texas,Charter,Middle,9859.65,50.5,13.0,22.7,52.5,77.2,3.39
864,Hughes Elementary School,Michigan,Private,High,7493.49,40.0,21.2,62.7,17.8,76.2,8.22
865,Brock Middle School,Illinois,Public,Middle,7053.01,45.8,17.6,18.4,42.5,86.7,1.94
866,Martin Elementary School,Pennsylvania,Private,Middle,5145.76,40.0,19.7,48.3,68.2,60.8,8.28
867,Casey Middle School,Illinois,Public,High,14079.89,40.0,22.4,84.9,66.2,92.3,8.12
868,Acevedo Elementary School,Texas,Public,Middle,21953.97,51.5,20.8,62.2,18.0,68.4,7.32
869,Goodwin Elementary School,Ohio,Public,Middle,5409.79,40.0,12.4,82.5,36.6,58.2,8.55
870,Torres Middle School,Texas,Public,High,9310.7,40.0,22.5,64.7,7.5,55.4,9.57
871,Foster Middle School,Texas,Private,Middle,6262.58,41.5,13.4,56.3,66.9,81.2,6.3
872,King High School,Michigan,Private,Elementary,10171.44,51.7,10.3,39.2,24.3,92.5,0.5
873,Allen High School,Pennsylvania,Charter,Middle,15261.23,46.6,27.6,81.8,66.5,98.4,7.15
874,Patrick Middle School,Illinois,Private,Elementary,21126.13,65.0,10.5,45.9,85.7,91.3,0.5
875,Russell High School,Florida,Charter,Middle,17607.74,40.3,14.3,50.4,85.6,60.2,6.27
876,Jones Elementary School,North Carolina,Private,Middle,24763.37,46.0,12.0,82.2,29.7,55.2,6.26
877,Dennis Middle School,Ohio,Charter,Middle,9293.89,40.0,17.5,42.1,84.1,50.6,9.37
878,Cooper Elementary School,California,Public,High,13869.84,44.9,27.6,31.4,67.0,80.9,7.96
879,Ramos Middle School,Texas,Charter,Middle,15504.27,40.1,27.0,66.1,72.9,77.0,11.15
880,Melendez Middle School,Pennsylvania,Public,High,18768.56,59.8,10.9,78.8,8.6,92.7,0.5
881,Smith High School,Ohio,Private,High,5311.0,40.0,27.6,56.8,46.2,63.0,10.56
882,Mckay Elementary School,Pennsylvania,Public,Elementary,20275.54,59.5,15.0,40.4,30.0,61.3,5.46
883,Lane Elementary School,Illinois,Charter,Middle,18930.9,51.1,15.3,79.2,69.1,96.6,4.46
884,Jacobs Elementary School,Florida,Public,High,16799.38,41.2,11.8,65.1,85.4,60.5,8.23
885,Vazquez Elementary School,Florida,Private,Elementary,24569.3,55.2,21.5,40.9,5.3,65.4,2.21
886,Nichols Middle School,North Carolina,Charter,Elementary,10307.57,40.0,21.5,49.8,82.8,65.2,8.74
887,Hill High School,Pennsylvania,Private,Elementary,11102.97,58.4,15.9,21.9,69.9,89.3,0.5
888,Hill Elementary School,New York,Public,Middle,6779.95,45.2,13.1,53.3,6.7,88.3,2.91
889,Vasquez Middle School,California,Public,Elementary,21735.99,46.5,27.5,45.8,90.1,96.1,3.83
890,Wright High School,New York,Charter,High,11241.62,40.0,17.0,11.4,30.8,53.6,5.22
891,Goodwin Middle School,Georgia,Charter,Elementary,21005.39,42.1,27.7,83.8,40.2,77.2,11.34
892,Downs Middle School,Pennsylvania,Public,High,17392.29,60.5,24.0,18.0,8.6,97.7,0.5
893,Sanchez High School,California,Private,Middle,9212.64,41.0,12.8,64.0,60.5,78.7,4.55
894,Edwards Middle School,Michigan,Charter,High,8253.69,48.1,10.3,10.9,91.5,68.8,0.5
895,Brown Middle School,Illinois,Private,Elementary,14768.73,61.3,11.2,36.0,15.0,94.3,0.5
896,Shelton High School,New York,Charter,Elementary,10424.44,40.7,26.3,43.9,76.0,70.8,7.44
897,Thompson High School,Texas,Charter,Elementary,9221.91,40.0,14.4,21.2,56.7,54.3,3.42
898,Klein High School,Texas,Private,Middle,6485.08,40.0,18.9,79.2,23.4,69.5,9.18
899,Martin High School,Pennsylvania,Private,High,6122.9,44.0,16.8,28.0,70.9,77.7,3.31
900,Martin Elementary School,Ohio,Private,High,23421.96,50.2,22.0,65.0,54.3,83.0,5.08
901,Hart High School,Georgia,Charter,Middle,20289.75,61.9,15.5,59.3,39.6,90.6,1.72
902,Walker Middle School,Illinois,Public,Middle,12136.25,40.0,21.2,39.2,85.9,60.0,9.38
903,Martin Elementary School,Ohio,Charter,High,9360.59,40.0,18.9,40.8,68.7,64.3,7.71
904,Andrews Middle School,Florida,Public,Middle,18697.17,72.2,10.5,27.9,91.4,95.5,0.5
905,Rice Middle School,Michigan,Charter,High,12300.19,40.0,15.3,53.7,60.1,56.0,8.7
906,Garcia Elementary School,North Carolina,Public,Elementary,16047.92,48.1,25.1,92.9,31.6,78.0,8.08
907,Dunn High School,Michigan,Private,Elementary,23670.41,62.3,11.7,29.0,40.5,60.3,2.25
908,Mueller High School,New York,Private,Elementary,23171.27,62.6,13.2,43.8,19.6,85.7,0.89
909,Miller Elementary School,Illinois,Charter,Middle,11008.01,47.5,17.9,28.6,18.9,68.5,3.08
910,Jarvis Middle School,North Carolina,Private,Middle,15577.66,40.0,27.9,68.8,48.0,76.5,9.92
911,Jackson Elementary School,Illinois,Public,Middle,9524.96,40.0,11.0,83.9,94.7,60.8,8.79
912,Farley Middle School,Texas,Charter,High,15227.4,43.6,14.5,65.6,32.7,51.3,8.92
913,Chen High School,Ohio,Public,Elementary,24487.67,76.4,11.5,40.2,26.7,97.5,0.5
914,Snyder Elementary School,Michigan,Charter,Middle,16149.46,48.2,26.6,46.6,11.8,85.6,1.4
915,Young Elementary School,Pennsylvania,Public,Middle,14987.76,56.1,11.4,43.7,69.1,72.8,4.69
916,Deleon High School,Texas,Public,High,8502.16,45.1,15.0,38.7,72.8,65.8,1.8
917,Reese Middle School,Georgia,Private,Elementary,6110.34,48.2,11.3,26.4,32.2,60.9,2.36
918,Nguyen Elementary School,Ohio,Private,Elementary,21551.26,58.5,13.7,19.9,75.7,51.0,5.12
919,Kline Elementary School,Florida,Public,Elementary,23806.61,64.0,25.2,56.3,42.1,87.9,3.82
920,Sanchez Middle School,California,Charter,Middle,16633.12,42.6,28.1,58.1,57.9,99.2,4.49
921,Kelley High School,New York,Private,High,11798.04,41.3,17.5,48.9,38.7,64.5,5.29
922,Briggs Middle School,California,Private,High,6927.49,40.0,29.7,48.3,17.7,82.7,8.12
923,Daniels High School,Georgia,Private,Middle,16080.69,41.3,14.3,66.1,81.4,51.6,7.18
924,Rice Middle School,Ohio,Public,High,24366.72,69.1,15.5,23.7,52.6,91.2,0.5
925,Whitaker Elementary School,Florida,Private,Elementary,7629.57,43.9,15.8,60.7,73.8,98.1,4.22
926,Garza Middle School,Texas,Private,Elementary,12901.02,47.8,15.3,59.2,16.7,50.1,5.91
927,Cook High School,Michigan,Public,High,16569.84,42.4,11.4,71.9,53.9,50.2,8.15
928,Ward Elementary School,North Carolina,Private,High,17018.49,55.2,15.5,55.5,91.8,88.1,2.82
929,Thomas Middle School,Ohio,Private,High,19992.39,40.7,16.4,79.9,82.7,50.9,12.2
930,Fox Middle School,California,Public,High,10149.31,45.4,15.0,18.7,65.5,61.0,5.05
931,Blackwell Middle School,Illinois,Charter,High,5964.16,40.0,26.5,28.3,11.5,69.5,3.78
932,Williams High School,New York,Private,Middle,18840.33,58.0,17.6,16.4,51.0,63.1,2.26
933,Hunter Elementary School,New York,Charter,High,8740.17,41.6,28.2,68.0,42.5,91.7,6.57
934,Taylor Elementary School,California,Public,High,19537.49,69.7,11.8,51.2,36.4,90.0,1.77
935,Middleton High School,Pennsylvania,Private,Elementary,15051.48,48.0,16.0,87.5,12.6,80.5,4.98
936,Boyd Elementary School,Michigan,Public,Middle,16280.13,46.2,12.2,93.8,88.1,74.4,10.57
937,Griffin High School,Florida,Private,Middle,21788.53,48.7,10.8,89.5,8.0,64.3,7.14
938,Barnett High School,Florida,Charter,Elementary,18401.05,56.7,18.5,46.9,41.9,86.5,1.57
939,Fuller High School,Florida,Charter,Middle,7323.13,40.0,12.7,74.5,72.5,52.6,8.88
940,Hudson Middle School,Pennsylvania,Private,Elementary,20102.49,65.7,16.1,27.0,37.4,79.2,0.5
941,Chase Middle School,New York,Charter,Middle,19276.61,65.2,11.0,39.2,46.2,88.2,0.5
942,Jackson Elementary School,Texas,Charter,High,20835.75,51.2,19.3,69.5,32.4,58.6,8.2
943,Baker Middle School,North Carolina,Charter,High,8864.83,44.1,17.1,30.4,47.6,64.8,3.44
944,Freeman Elementary School,Ohio,Private,High,11292.73,45.2,20.0,49.5,31.5,63.3,4.13
945,Ashley Elementary School,California,Charter,Elementary,18816.21,56.5,16.2,46.4,29.3,72.1,3.22
946,Johnson Middle School,New York,Public,Elementary,15922.25,56.1,16.9,55.5,7.4,94.5,0.5
947,Burns Elementary School,Texas,Private,High,17230.94,58.8,12.0,69.3,35.5,92.1,1.66
948,Ruiz High School,Illinois,Charter,Middle,19174.77,43.3,11.7,76.2,29.9,78.5,4.76
949,Johnson High School,Florida,Public,Elementary,12324.46,46.3,10.6,59.6,75.3,68.2,4.9
950,Evans High School,Illinois,Public,High,10223.65,40.0,14.3,87.2,68.3,54.3,13.17
951,Henderson Elementary School,Ohio,Private,Middle,17219.41,40.0,27.0,31.3,78.4,63.2,8.22
952,Thompson High School,North Carolina,Charter,High,9966.62,41.5,19.0,71.6,61.6,83.0,7.6
953,Williams High School,Florida,Public,Middle,13896.1,49.4,13.1,48.1,72.4,68.3,3.02
954,Fleming Elementary School,Texas,Public,Middle,20653.17,46.3,18.6,65.7,25.0,65.5,6.51
955,Wilcox High School,California,Public,Middle,23652.5,62.6,18.1,48.6,33.2,91.4,2.03
956,Lopez Middle School,Pennsylvania,Public,Elementary,22037.91,55.9,29.7,64.2,41.4,81.7,5.92
957,Odonnell Elementary School,Texas,Charter,Elementary,24905.29,60.3,29.0,46.8,34.3,96.3,4.66
958,Steele Elementary School,Texas,Charter,Middle,5938.2,51.4,18.0,43.3,76.8,92.2,1.8
959,Sanchez Elementary School,Florida,Private,Elementary,17574.9,46.5,13.9,74.6,71.5,67.1,7.47
960,Fowler High School,North Carolina,Public,Elementary,10657.23,52.4,17.8,30.8,10.8,81.7,1.12
961,Wolf Elementary School,Michigan,Public,Elementary,23162.29,61.8,22.6,80.6,36.5,88.5,5.86
962,Patel Elementary School,Georgia,Charter,High,20744.05,56.4,11.7,80.1,13.3,74.4,4.16
963,Obrien Elementary School,New York,Public,Elementary,23370.98,54.4,16.2,64.3,90.5,84.3,4.99
964,Cunningham High School,Georgia,Private,High,15405.36,51.0,14.3,83.9,41.6,93.9,4.63
965,Hernandez High School,New York,Charter,Middle,17893.28,53.5,24.2,29.2,66.5,82.2,3.05
966,Brown Elementary School,California,Public,High,21381.93,57.0,14.6,61.7,35.4,92.1,3.23
967,Burns Elementary School,Florida,Charter,Elementary,5618.49,40.0,18.4,69.8,30.2,88.5,6.3
968,Graham High School,Ohio,Public,High,6988.88,40.0,18.3,13.6,59.3,59.6,4.87
969,Fisher Middle School,Michigan,Private,Middle,8091.47,40.0,21.1,77.7,55.1,59.3,10.09
970,Castro High School,Ohio,Charter,Middle,5955.35,44.9,24.6,20.5,70.5,98.6,3.57
971,Burton Middle School,Texas,Private,Elementary,5473.56,40.0,12.2,92.8,81.9,88.0,7.42
972,Flores High School,Ohio,Public,Middle,19512.19,64.3,18.2,28.6,59.6,98.6,0.5
973,Hensley Middle School,Florida,Public,Elementary,13311.58,60.6,15.2,29.7,12.8,94.9,0.5
974,Warner Middle School,Pennsylvania,Private,Elementary,20784.6,56.7,21.7,27.6,64.4,65.6,6.64
975,Armstrong High School,Ohio,Private,High,23530.06,52.6,11.8,74.6,14.3,62.1,4.54
976,Campos Middle School,North Carolina,Charter,Elementary,24955.96,55.3,19.4,30.7,9.3,53.7,5.55
977,Williamson Elementary School,North Carolina,Charter,Middle,8214.13,50.1,12.0,37.3,82.0,78.8,0.87
978,Lewis Middle School,Illinois,Public,High,15368.29,49.3,21.9,59.6,80.3,99.7,5.11
979,Wallace Middle School,Florida,Charter,Middle,12663.93,40.0,22.1,39.1,50.8,54.8,9.97
980,Carr Middle School,Georgia,Private,Elementary,18270.33,46.6,26.4,86.5,65.2,89.7,9.46
981,Love High School,Pennsylvania,Charter,Elementary,8897.71,40.0,29.8,77.3,34.9,71.9,10.86
982,Harrington Elementary School,Illinois,Charter,High,10501.83,40.0,28.3,50.1,71.7,55.6,9.87
983,Fisher Elementary School,Texas,Public,Elementary,21767.23,51.9,17.1,61.8,7.3,52.4,7.12
984,Sloan Elementary School,New York,Charter,High,24978.15,64.2,16.9,83.9,88.2,99.8,4.15
985,Jones High School,Ohio,Public,Middle,12826.59,40.0,15.6,71.4,71.5,54.1,8.91
986,Guerra Elementary School,Pennsylvania,Private,Elementary,7391.47,47.1,18.7,25.1,17.2,73.9,2.65
987,Ramirez High School,Texas,Private,High,18936.17,48.8,19.4,25.7,22.4,61.4,4.6
988,Garrison High School,Ohio,Private,Elementary,22322.2,52.0,29.8,48.5,40.1,72.1,6.31
989,Salas High School,California,Public,High,11249.38,40.0,28.1,60.8,47.5,60.5,9.42
990,Martinez Middle School,Pennsylvania,Public,Middle,18776.09,40.0,25.5,39.4,89.7,50.9,8.32
991,Lewis Elementary School,Michigan,Charter,Middle,24981.81,57.5,22.3,66.7,92.4,76.9,7.67
992,Ortiz Elementary School,Illinois,Charter,Middle,10336.9,41.0,24.2,52.0,84.6,68.3,9.42
993,Rodriguez High School,Georgia,Private,Elementary,23066.08,56.9,21.1,86.8,52.0,73.3,8.46
994,Ray Middle School,Illinois,Charter,Elementary,19133.75,66.8,17.6,44.0,7.0,89.0,1.76
995,Wright Elementary School,Ohio,Public,Middle,7529.05,40.0,25.5,70.0,33.7,62.7,10.21
996,Hale High School,Ohio,Charter,Elementary,8775.63,40.9,18.3,12.9,61.0,50.5,6.24
997,Herrera Elementary School,Georgia,Public,High,24440.93,71.7,19.2,24.8,49.1,89.3,0.5
998,Combs High School,New York,Private,Middle,23947.18,56.2,25.2,16.7,51.1,55.8,5.08
999,Buckley Elementary School,Illinois,Private,Elementary,6459.87,40.0,17.0,73.6,48.4,64.0,8.22
1000,Berg Elementary School,Illinois,Private,Elementary,15471.48,64.3,10.9,31.1,83.9,94.2,2.15
